system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
00000000000000000219,"{type=[[0.0, 884.5137254901955], [1.0, 11.0]]}","{type=[[0.0, 884.5137254901955], [1.0, 11.0]]}","{type=[[0.0, 895.5137254901955]]}","{type=[[0.0, 339.8549019607844], [1.0, 555.6588235294115]]}","{type=[[0.0, 350.8549019607844], [1.0, 544.6588235294115]]}","{type=[[0.0, 350.8549019607844], [1.0, 544.6588235294115]]}",518436450,"{type=[[0.0, 895.5137254901955]]}","{type=[[0.0, 895.5137254901955]]}","{type=[[0.0, 895.5137254901955]]}",
0000000000000000021a,"{type=[[0.0, 905.6627450980392]]}","{type=[[0.0, 890.8901960784312], [1.0, 14.772549019607844]]}","{type=[[0.0, 890.8901960784312], [1.0, 14.772549019607844]]}","{type=[[0.0, 339.8784313725491], [1.0, 565.7843137254903]]}","{type=[[0.0, 339.8784313725491], [1.0, 565.7843137254903]]}","{type=[[0.0, 354.65098039215684], [1.0, 551.0117647058823]]}",519013848,"{type=[[0.0, 905.6627450980392]]}","{type=[[0.0, 905.6627450980392]]}","{type=[[0.0, 905.6627450980392]]}",
0000000000000000021b,"{type=[[0.0, 905.0470588235291]]}","{type=[[0.0, 903.8039215686272], [1.0, 1.2431372549019608]]}","{type=[[0.0, 903.8039215686272], [1.0, 1.2431372549019608]]}","{type=[[0.0, 285.26666666666665], [1.0, 619.7803921568624]]}","{type=[[0.0, 285.26666666666665], [1.0, 619.7803921568624]]}","{type=[[0.0, 286.5098039215686], [1.0, 618.5372549019604]]}",519026964,"{type=[[0.0, 905.0470588235291]]}","{type=[[0.0, 905.0470588235291]]}","{type=[[0.0, 905.0470588235291]]}",
0000000000000000024b,"{type=[[0.0, 889.9921568627449], [1.0, 24.0]]}","{type=[[0.0, 871.5999999999998], [1.0, 42.3921568627451]]}","{type=[[0.0, 895.5999999999998], [1.0, 18.3921568627451]]}","{type=[[0.0, 478.83921568627443], [1.0, 435.1529411764707]]}","{type=[[0.0, 502.83921568627443], [1.0, 411.1529411764707]]}","{type=[[0.0, 521.2313725490195], [1.0, 392.7607843137255]]}",519348308,"{type=[[0.0, 913.992156862745]]}","{type=[[0.0, 913.992156862745]]}","{type=[[0.0, 913.992156862745]]}",
0000000000000000024c,"{type=[[0.0, 917.035294117647], [1.0, 2.2470588235294118]]}","{type=[[0.0, 912.035294117647], [1.0, 7.247058823529412]]}","{type=[[0.0, 914.2823529411764], [1.0, 5.0]]}","{type=[[0.0, 384.98039215686276], [1.0, 534.3019607843137]]}","{type=[[0.0, 387.2274509803922], [1.0, 532.0549019607844]]}","{type=[[0.0, 392.2274509803922], [1.0, 527.0549019607844]]}",519853489,"{type=[[0.0, 919.2823529411764]]}","{type=[[0.0, 919.2823529411764]]}","{type=[[0.0, 919.2823529411764]]}",
0000000000000000024d,"{type=[[0.0, 911.4862745098039]]}","{type=[[0.0, 891.4862745098039], [1.0, 20.0]]}","{type=[[0.0, 891.4862745098039], [1.0, 20.0]]}","{type=[[0.0, 363.84705882352944], [1.0, 547.6392156862745]]}","{type=[[0.0, 363.84705882352944], [1.0, 547.6392156862745]]}","{type=[[0.0, 383.8470588235295], [1.0, 527.6392156862746]]}",519387632,"{type=[[0.0, 911.4862745098039]]}","{type=[[0.0, 911.4862745098039]]}","{type=[[0.0, 911.4862745098039]]}",
0000000000000000024e,"{type=[[0.0, 906.8941176470585], [1.0, 8.0]]}","{type=[[0.0, 899.8941176470585], [1.0, 15.0]]}","{type=[[0.0, 907.8941176470585], [1.0, 7.0]]}","{type=[[0.0, 282.9764705882352], [1.0, 631.9176470588234]]}","{type=[[0.0, 290.9764705882353], [1.0, 623.9176470588234]]}","{type=[[0.0, 297.9764705882353], [1.0, 616.9176470588234]]}",519335147,"{type=[[0.0, 914.8941176470585]]}","{type=[[0.0, 914.8941176470585]]}","{type=[[0.0, 914.8941176470585]]}",
0000000000000000024f,"{type=[[0.0, 906.654901960784]]}","{type=[[0.0, 906.654901960784]]}","{type=[[0.0, 906.654901960784]]}","{type=[[0.0, 664.9960784313723], [1.0, 241.65882352941176]]}","{type=[[0.0, 664.9960784313723], [1.0, 241.65882352941176]]}","{type=[[0.0, 664.9960784313723], [1.0, 241.65882352941176]]}",518836522,"{type=[[0.0, 906.654901960784]]}","{type=[[0.0, 906.654901960784]]}","{type=[[0.0, 906.654901960784]]}",
00000000000000000250,"{type=[[0.0, 896.1098039215691], [1.0, 2.0862745098039217]]}","{type=[[0.0, 866.3490196078436], [1.0, 31.847058823529416]]}","{type=[[0.0, 868.4352941176475], [1.0, 29.760784313725487]]}","{type=[[0.0, 6.949019607843137], [1.0, 891.24705882353]]}","{type=[[0.0, 9.035294117647059], [1.0, 889.1607843137259]]}","{type=[[0.0, 38.79607843137255], [1.0, 859.4000000000004]]}",518705313,"{type=[[0.0, 898.1960784313729]]}","{type=[[0.0, 898.1960784313729]]}","{type=[[0.0, 898.1960784313729]]}",
00000000000000000251,"{type=[[0.0, 889.1686274509805], [1.0, 16.52156862745098]]}","{type=[[0.0, 877.1686274509805], [1.0, 28.52156862745098]]}","{type=[[0.0, 893.6901960784313], [1.0, 12.0]]}","{type=[[0.0, 150.12549019607843], [1.0, 755.564705882353]]}","{type=[[0.0, 166.6470588235294], [1.0, 739.043137254902]]}","{type=[[0.0, 178.6470588235294], [1.0, 727.043137254902]]}",518816845,"{type=[[0.0, 905.6901960784314]]}","{type=[[0.0, 905.6901960784314]]}","{type=[[0.0, 905.6901960784314]]}",
