system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
00000000000000000219,"{type=[[0.0, 895.5137254901955]]}","{type=[[0.0, 895.5137254901955]]}","{type=[[0.0, 895.5137254901955]]}","{type=[[1.0, 895.5137254901955]]}","{type=[[1.0, 895.5137254901955]]}","{type=[[1.0, 895.5137254901955]]}",518436450,"{type=[[0.0, 895.5137254901955]]}","{type=[[0.0, 895.5137254901955]]}","{type=[[0.0, 895.5137254901955]]}",
0000000000000000021a,"{type=[[0.0, 905.6627450980392]]}","{type=[[0.0, 905.6627450980392]]}","{type=[[0.0, 905.6627450980392]]}","{type=[[1.0, 905.6627450980392]]}","{type=[[1.0, 905.6627450980392]]}","{type=[[1.0, 905.6627450980392]]}",519013848,"{type=[[0.0, 905.6627450980392]]}","{type=[[0.0, 905.6627450980392]]}","{type=[[0.0, 905.6627450980392]]}",
0000000000000000021b,"{type=[[0.0, 905.0470588235291]]}","{type=[[0.0, 902.8039215686272], [1.0, 2.243137254901961]]}","{type=[[0.0, 902.8039215686272], [1.0, 2.243137254901961]]}","{type=[[0.0, 32.51372549019608], [1.0, 872.5333333333331]]}","{type=[[0.0, 32.51372549019608], [1.0, 872.5333333333331]]}","{type=[[0.0, 34.75686274509804], [1.0, 870.2901960784311]]}",519026964,"{type=[[0.0, 905.0470588235291]]}","{type=[[0.0, 905.0470588235291]]}","{type=[[0.0, 905.0470588235291]]}",
0000000000000000024b,"{type=[[0.0, 913.992156862745]]}","{type=[[0.0, 912.2274509803921], [1.0, 1.7647058823529411]]}","{type=[[0.0, 912.2274509803921], [1.0, 1.7647058823529411]]}","{type=[[0.0, 14.058823529411763], [1.0, 899.9333333333332]]}","{type=[[0.0, 14.058823529411763], [1.0, 899.9333333333332]]}","{type=[[0.0, 15.823529411764703], [1.0, 898.1686274509802]]}",519348308,"{type=[[0.0, 913.992156862745]]}","{type=[[0.0, 913.992156862745]]}","{type=[[0.0, 913.992156862745]]}",
0000000000000000024c,"{type=[[0.0, 919.2823529411764]]}","{type=[[0.0, 915.2823529411764], [1.0, 4.0]]}","{type=[[0.0, 915.2823529411764], [1.0, 4.0]]}","{type=[[1.0, 919.2823529411764]]}","{type=[[1.0, 919.2823529411764]]}","{type=[[0.0, 4.0], [1.0, 915.2823529411764]]}",519853489,"{type=[[0.0, 919.2823529411764]]}","{type=[[0.0, 919.2823529411764]]}","{type=[[0.0, 919.2823529411764]]}",
0000000000000000024d,"{type=[[0.0, 911.4862745098039]]}","{type=[[0.0, 906.4862745098039], [1.0, 5.0]]}","{type=[[0.0, 906.4862745098039], [1.0, 5.0]]}","{type=[[0.0, 32.27450980392157], [1.0, 879.2117647058824]]}","{type=[[0.0, 32.27450980392157], [1.0, 879.2117647058824]]}","{type=[[0.0, 37.27450980392157], [1.0, 874.2117647058824]]}",519387632,"{type=[[0.0, 911.4862745098039]]}","{type=[[0.0, 911.4862745098039]]}","{type=[[0.0, 911.4862745098039]]}",
0000000000000000024e,"{type=[[0.0, 914.8941176470585]]}","{type=[[0.0, 913.8941176470586], [1.0, 1.0]]}","{type=[[0.0, 913.8941176470586], [1.0, 1.0]]}","{type=[[0.0, 59.062745098039215], [1.0, 855.8313725490193]]}","{type=[[0.0, 59.062745098039215], [1.0, 855.8313725490193]]}","{type=[[0.0, 60.062745098039215], [1.0, 854.8313725490193]]}",519335147,"{type=[[0.0, 914.8941176470585]]}","{type=[[0.0, 914.8941176470585]]}","{type=[[0.0, 914.8941176470585]]}",
0000000000000000024f,"{type=[[0.0, 906.654901960784]]}","{type=[[0.0, 906.654901960784]]}","{type=[[0.0, 906.654901960784]]}","{type=[[0.0, 624.6980392156861], [1.0, 281.9568627450981]]}","{type=[[0.0, 624.6980392156861], [1.0, 281.9568627450981]]}","{type=[[0.0, 622.6980392156861], [1.0, 283.9568627450981]]}",518836522,"{type=[[0.0, 906.654901960784]]}","{type=[[0.0, 904.6549019607841], [1.0, 2.0]]}","{type=[[0.0, 904.6549019607841], [1.0, 2.0]]}",
00000000000000000250,"{type=[[0.0, 898.1960784313729]]}","{type=[[0.0, 886.1960784313729], [1.0, 12.0]]}","{type=[[0.0, 886.1960784313729], [1.0, 12.0]]}","{type=[[1.0, 898.1960784313729]]}","{type=[[1.0, 898.1960784313729]]}","{type=[[0.0, 12.0], [1.0, 886.1960784313729]]}",518705313,"{type=[[0.0, 898.1960784313729]]}","{type=[[0.0, 898.1960784313729]]}","{type=[[0.0, 898.1960784313729]]}",
00000000000000000251,"{type=[[0.0, 905.6901960784314]]}","{type=[[0.0, 905.6901960784314]]}","{type=[[0.0, 905.6901960784314]]}","{type=[[1.0, 905.6901960784314]]}","{type=[[1.0, 905.6901960784314]]}","{type=[[1.0, 905.6901960784314]]}",518816845,"{type=[[0.0, 905.6901960784314]]}","{type=[[0.0, 905.6901960784314]]}","{type=[[0.0, 905.6901960784314]]}",
