system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
0000000000000000021c,"{type=[[0.0, 962.3490196078432]]}","{type=[[0.0, 962.3490196078432]]}","{type=[[0.0, 962.3490196078432]]}","{type=[[0.0, 962.3490196078432]]}","{type=[[0.0, 962.3490196078432]]}","{type=[[0.0, 962.3490196078432]]}",522687900,"{type=[[0.0, 962.3490196078432]]}","{type=[[0.0, 962.3490196078432]]}","{type=[[0.0, 962.3490196078432]]}",
0000000000000000021d,"{type=[[0.0, 968.9294117647061]]}","{type=[[0.0, 968.9294117647061]]}","{type=[[0.0, 968.9294117647061]]}","{type=[[0.0, 203.6078431372549], [1.0, 765.321568627451]]}","{type=[[0.0, 203.6078431372549], [1.0, 765.321568627451]]}","{type=[[0.0, 203.6078431372549], [1.0, 765.321568627451]]}",522838796,"{type=[[0.0, 968.9294117647061]]}","{type=[[0.0, 968.9294117647061]]}","{type=[[0.0, 968.9294117647061]]}",
0000000000000000021e,"{type=[[0.0, 958.5725490196081], [1.0, 5.866666666666667]]}","{type=[[0.0, 870.3529411764708], [1.0, 94.08627450980393]]}","{type=[[0.0, 876.2196078431375], [1.0, 88.21960784313725]]}","{type=[[0.0, 49.5607843137255], [1.0, 914.8784313725491]]}","{type=[[0.0, 55.427450980392166], [1.0, 909.0117647058823]]}","{type=[[0.0, 143.64705882352945], [1.0, 820.7921568627451]]}",522582896,"{type=[[0.0, 964.4392156862748]]}","{type=[[0.0, 964.4392156862748]]}","{type=[[0.0, 964.4392156862748]]}",
0000000000000000021f,"{type=[[0.0, 962.7882352941174]]}","{type=[[0.0, 953.8431372549016], [1.0, 8.945098039215686]]}","{type=[[0.0, 953.8431372549016], [1.0, 8.945098039215686]]}","{type=[[0.0, 590.3254901960786], [1.0, 372.46274509803936]]}","{type=[[0.0, 590.3254901960786], [1.0, 372.46274509803936]]}","{type=[[0.0, 599.2705882352942], [1.0, 363.5176470588237]]}",522313908,"{type=[[0.0, 962.7882352941174]]}","{type=[[0.0, 962.7882352941174]]}","{type=[[0.0, 962.7882352941174]]}",
00000000000000000220,"{type=[[0.0, 965.3333333333336]]}","{type=[[0.0, 965.3333333333336]]}","{type=[[0.0, 965.3333333333336]]}","{type=[[0.0, 288.32941176470587], [1.0, 677.0039215686277]]}","{type=[[0.0, 288.32941176470587], [1.0, 677.0039215686277]]}","{type=[[0.0, 288.32941176470587], [1.0, 677.0039215686277]]}",522510718,"{type=[[0.0, 965.3333333333336]]}","{type=[[0.0, 965.3333333333336]]}","{type=[[0.0, 965.3333333333336]]}",
00000000000000000221,"{type=[[0.0, 959.0901960784317]]}","{type=[[0.0, 959.0901960784317]]}","{type=[[0.0, 959.0901960784317]]}","{type=[[0.0, 342.56470588235294], [1.0, 616.5254901960785]]}","{type=[[0.0, 342.56470588235294], [1.0, 616.5254901960785]]}","{type=[[0.0, 342.56470588235294], [1.0, 616.5254901960785]]}",522340099,"{type=[[0.0, 959.0901960784317]]}","{type=[[0.0, 959.0901960784317]]}","{type=[[0.0, 959.0901960784317]]}",
00000000000000000222,"{type=[[0.0, 964.525490196079]]}","{type=[[0.0, 964.525490196079]]}","{type=[[0.0, 964.525490196079]]}","{type=[[0.0, 294.49803921568633], [1.0, 670.0274509803922]]}","{type=[[0.0, 294.49803921568633], [1.0, 670.0274509803922]]}","{type=[[0.0, 294.49803921568633], [1.0, 670.0274509803922]]}",522425399,"{type=[[0.0, 964.525490196079]]}","{type=[[0.0, 964.525490196079]]}","{type=[[0.0, 964.525490196079]]}",
00000000000000000223,"{type=[[0.0, 958.9254901960784]]}","{type=[[0.0, 958.9254901960784]]}","{type=[[0.0, 958.9254901960784]]}","{type=[[0.0, 958.9254901960784]]}","{type=[[0.0, 958.9254901960784]]}","{type=[[0.0, 958.9254901960784]]}",522366336,"{type=[[0.0, 958.9254901960784]]}","{type=[[0.0, 958.9254901960784]]}","{type=[[0.0, 958.9254901960784]]}",
00000000000000000224,"{type=[[0.0, 962.0039215686273]]}","{type=[[0.0, 962.0039215686273]]}","{type=[[0.0, 962.0039215686273]]}","{type=[[0.0, 313.05882352941177], [1.0, 648.9450980392155]]}","{type=[[0.0, 313.05882352941177], [1.0, 648.9450980392155]]}","{type=[[0.0, 313.05882352941177], [1.0, 648.9450980392155]]}",522267913,"{type=[[0.0, 962.0039215686273]]}","{type=[[0.0, 962.0039215686273]]}","{type=[[0.0, 962.0039215686273]]}",
00000000000000000225,"{type=[[0.0, 900.1176470588233], [1.0, 52.97254901960784]]}","{type=[[0.0, 899.1176470588233], [1.0, 53.97254901960784]]}","{type=[[0.0, 952.0901960784312], [1.0, 1.0]]}","{type=[[0.0, 671.3137254901959], [1.0, 281.7764705882352]]}","{type=[[0.0, 724.2862745098038], [1.0, 228.8039215686274]]}","{type=[[0.0, 725.2862745098038], [1.0, 227.8039215686274]]}",521933315,"{type=[[0.0, 953.0901960784313]]}","{type=[[0.0, 953.0901960784313]]}","{type=[[0.0, 953.0901960784313]]}",
