system:index,deforestationHistogram 2000-2010,deforestationHistogram 2000-2018,deforestationHistogram 2010-2018,forestHistogram 2000,forestHistogram 2010,forestHistogram 2018,plotID,reforestationHistogram 2000-2010,reforestationHistogram 2000-2018,reforestationHistogram 2010-2018,.geo
00000000000000000301,"{type=[[0.0, 991.9529411764707]]}","{type=[[0.0, 984.9529411764709], [1.0, 7.0]]}","{type=[[0.0, 984.9529411764709], [1.0, 7.0]]}","{type=[[0.0, 546.4274509803923], [1.0, 445.52549019607847]]}","{type=[[0.0, 546.4274509803923], [1.0, 445.52549019607847]]}","{type=[[0.0, 553.4274509803923], [1.0, 438.52549019607847]]}",523835962,"{type=[[0.0, 991.9529411764707]]}","{type=[[0.0, 991.9529411764707]]}","{type=[[0.0, 991.9529411764707]]}",
00000000000000000302,"{type=[[0.0, 985.1450980392154]]}","{type=[[0.0, 985.1450980392154]]}","{type=[[0.0, 985.1450980392154]]}","{type=[[0.0, 864.2941176470588], [1.0, 120.85098039215687]]}","{type=[[0.0, 864.2941176470588], [1.0, 120.85098039215687]]}","{type=[[0.0, 864.2941176470588], [1.0, 120.85098039215687]]}",523652226,"{type=[[0.0, 985.1450980392154]]}","{type=[[0.0, 985.1450980392154]]}","{type=[[0.0, 985.1450980392154]]}",
00000000000000000303,"{type=[[0.0, 990.5843137254905], [1.0, 3.0]]}","{type=[[0.0, 990.5843137254905], [1.0, 3.0]]}","{type=[[0.0, 993.5843137254903]]}","{type=[[0.0, 890.4274509803922], [1.0, 103.15686274509804]]}","{type=[[0.0, 893.4274509803922], [1.0, 100.15686274509804]]}","{type=[[0.0, 893.4274509803922], [1.0, 100.15686274509804]]}",524137740,"{type=[[0.0, 993.5843137254903]]}","{type=[[0.0, 993.5843137254903]]}","{type=[[0.0, 993.5843137254903]]}",
00000000000000000304,"{type=[[0.0, 985.1411764705881]]}","{type=[[0.0, 944.0156862745097], [1.0, 41.12549019607843]]}","{type=[[0.0, 953.6274509803919], [1.0, 41.12549019607843]]}","{type=[[0.0, 489.9137254901961], [1.0, 495.2274509803922]]}","{type=[[0.0, 495.5254901960784], [1.0, 499.2274509803922]]}","{type=[[0.0, 536.6509803921568], [1.0, 458.1019607843138]]}",524249284,"{type=[[0.0, 985.1411764705881]]}","{type=[[0.0, 985.1411764705881]]}","{type=[[0.0, 994.7529411764706]]}",
00000000000000000305,"{type=[[0.0, 990.2549019607849], [1.0, 6.76078431372549]]}","{type=[[0.0, 942.4862745098044], [1.0, 54.529411764705884]]}","{type=[[0.0, 949.2470588235299], [1.0, 47.76862745098039]]}","{type=[[0.0, 401.09411764705874], [1.0, 595.9215686274508]]}","{type=[[0.0, 407.8549019607843], [1.0, 589.1607843137253]]}","{type=[[0.0, 455.62352941176476], [1.0, 541.392156862745]]}",524380507,"{type=[[0.0, 997.0156862745104]]}","{type=[[0.0, 997.0156862745104]]}","{type=[[0.0, 997.0156862745104]]}",
00000000000000000306,"{type=[[0.0, 994.1607843137248]]}","{type=[[0.0, 994.1607843137248]]}","{type=[[0.0, 994.1607843137248]]}","{type=[[0.0, 965.0862745098033], [1.0, 29.07450980392157]]}","{type=[[0.0, 965.0862745098033], [1.0, 29.07450980392157]]}","{type=[[0.0, 965.0862745098033], [1.0, 29.07450980392157]]}",524209900,"{type=[[0.0, 994.1607843137248]]}","{type=[[0.0, 994.1607843137248]]}","{type=[[0.0, 994.1607843137248]]}",
00000000000000000148,"{type=[[0.0, 1024.301960784314]]}","{type=[[0.0, 1022.5529411764704], [1.0, 1.7490196078431373]]}","{type=[[0.0, 1022.5529411764704], [1.0, 1.7490196078431373]]}","{type=[[0.0, 529.5019607843137], [1.0, 494.79999999999995]]}","{type=[[0.0, 529.5019607843137], [1.0, 494.79999999999995]]}","{type=[[0.0, 531.2509803921569], [1.0, 493.0509803921568]]}",525942315,"{type=[[0.0, 1024.301960784314]]}","{type=[[0.0, 1024.301960784314]]}","{type=[[0.0, 1024.301960784314]]}",
00000000000000000149,"{type=[[0.0, 1020.7058823529416]]}","{type=[[0.0, 1020.7058823529416]]}","{type=[[0.0, 1020.7058823529416]]}","{type=[[0.0, 712.564705882353], [1.0, 308.1411764705882]]}","{type=[[0.0, 712.564705882353], [1.0, 308.1411764705882]]}","{type=[[0.0, 712.564705882353], [1.0, 308.1411764705882]]}",525778269,"{type=[[0.0, 1020.7058823529416]]}","{type=[[0.0, 1020.7058823529416]]}","{type=[[0.0, 1020.7058823529416]]}",
0000000000000000014a,"{type=[[0.0, 997.8549019607842]]}","{type=[[0.0, 995.8549019607842], [1.0, 2.0]]}","{type=[[0.0, 995.8549019607842], [1.0, 2.0]]}","{type=[[0.0, 343.70196078431377], [1.0, 654.1529411764706]]}","{type=[[0.0, 343.70196078431377], [1.0, 654.1529411764706]]}","{type=[[0.0, 345.70196078431377], [1.0, 652.1529411764706]]}",524859769,"{type=[[0.0, 997.8549019607842]]}","{type=[[0.0, 997.8549019607842]]}","{type=[[0.0, 997.8549019607842]]}",
0000000000000000014b,"{type=[[0.0, 1006.686274509804]]}","{type=[[0.0, 1005.686274509804], [1.0, 1.0]]}","{type=[[0.0, 1005.686274509804], [1.0, 1.0]]}","{type=[[0.0, 401.9647058823528], [1.0, 604.7215686274508]]}","{type=[[0.0, 401.9647058823528], [1.0, 604.7215686274508]]}","{type=[[0.0, 402.96470588235286], [1.0, 603.7215686274509]]}",524905683,"{type=[[0.0, 1006.686274509804]]}","{type=[[0.0, 1006.686274509804]]}","{type=[[0.0, 1006.686274509804]]}",
0000000000000000014c,"{type=[[0.0, 992.0823529411766]]}","{type=[[0.0, 992.0823529411766]]}","{type=[[0.0, 992.0823529411766]]}","{type=[[0.0, 864.4470588235297], [1.0, 127.63529411764708]]}","{type=[[0.0, 864.4470588235297], [1.0, 127.63529411764708]]}","{type=[[0.0, 864.4470588235297], [1.0, 127.63529411764708]]}",524466037,"{type=[[0.0, 992.0823529411766]]}","{type=[[0.0, 992.0823529411766]]}","{type=[[0.0, 992.0823529411766]]}",
0000000000000000014d,"{type=[[0.0, 999.8509803921568]]}","{type=[[0.0, 999.8509803921568]]}","{type=[[0.0, 999.8509803921568]]}","{type=[[0.0, 999.8509803921568]]}","{type=[[0.0, 999.8509803921568]]}","{type=[[0.0, 999.8509803921568]]}",524590732,"{type=[[0.0, 999.8509803921568]]}","{type=[[0.0, 999.8509803921568]]}","{type=[[0.0, 999.8509803921568]]}",
0000000000000000014e,"{type=[[0.0, 980.0941176470586], [1.0, 16.0]]}","{type=[[0.0, 974.0941176470586], [1.0, 22.0]]}","{type=[[0.0, 990.0941176470586], [1.0, 6.0]]}","{type=[[0.0, 229.55686274509802], [1.0, 766.5372549019606]]}","{type=[[0.0, 245.55686274509802], [1.0, 750.5372549019606]]}","{type=[[0.0, 251.55686274509802], [1.0, 744.5372549019608]]}",524452936,"{type=[[0.0, 996.0941176470586]]}","{type=[[0.0, 996.0941176470586]]}","{type=[[0.0, 996.0941176470586]]}",
